file_id,rel_path,status,sha256,acq_sha256,ingested_at,source_name,schema_version,supersedes_file_id,row_count,start_date,end_date,partition,meta_json
,datasets/acquisition/youtube/I'll-Fly-Away_FFkiVy79ZRw.mp3,active,78cd70f764d0336af7f62aee1880beaa6202241bd805c81c50251cb5e3e5b957,,,I'll-Fly-Away_FFkiVy79ZRw.mp3,1,,,,,,"{""asset_role"":""audio"",""bundle_id"":""FFkiVy79ZRw"",""upstream"":{""kind"":""youtube"",""url"":""https://www.youtube.com/watch?v=FFkiVy79ZRw"",""youtube_id"":""FFkiVy79ZRw""}}"
,datasets/acquisition/youtube/I'll-Fly-Away_FFkiVy79ZRw.jpg,active,9934660f567f3b98c1995a323303273fbad73231fbf646bc4f1685e03041decd,,,I'll-Fly-Away_FFkiVy79ZRw.jpg,1,,,,,,"{""asset_role"":""thumb"",""bundle_id"":""FFkiVy79ZRw"",""upstream"":{""kind"":""youtube"",""url"":""https://www.youtube.com/watch?v=FFkiVy79ZRw"",""youtube_id"":""FFkiVy79ZRw""}}"
,datasets/acquisition/youtube/I'll-Fly-Away_juHtN7hjtc4.json,active,cc2e97a8d188c053aff16e4f6865cc8550f0154356358353b8a2531bf2a13b29,,,I'll-Fly-Away_juHtN7hjtc4.json,1,,,,,,"{""asset_role"":""info_json"",""bundle_id"":""juHtN7hjtc4"",""upstream"":{""kind"":""youtube"",""url"":""https://www.youtube.com/watch?v=juHtN7hjtc4"",""youtube_id"":""juHtN7hjtc4""}}"
,datasets/acquisition/youtube/I'll-Fly-Away_juHtN7hjtc4.mp3,active,293af6efff504d5046344fc28e7335df186192e53a2ee6f9f4482a7c42cc8ce1,,,I'll-Fly-Away_juHtN7hjtc4.mp3,1,,,,,,"{""asset_role"":""audio"",""bundle_id"":""juHtN7hjtc4"",""upstream"":{""kind"":""youtube"",""url"":""https://www.youtube.com/watch?v=juHtN7hjtc4"",""youtube_id"":""juHtN7hjtc4""}}"
,datasets/acquisition/youtube/I'll-Fly-Away_juHtN7hjtc4.jpg,active,ccb339d53804bbe285d0a7ddaa01ed10ce91f23fb64824f279184cee3defa8cc,,,I'll-Fly-Away_juHtN7hjtc4.jpg,1,,,,,,"{""asset_role"":""thumb"",""bundle_id"":""juHtN7hjtc4"",""upstream"":{""kind"":""youtube"",""url"":""https://www.youtube.com/watch?v=juHtN7hjtc4"",""youtube_id"":""juHtN7hjtc4""}}"
,datasets/acquisition/youtube/I'll-Fly-Away_lFamN-oXRMQ.json,active,055e3affb507cfb62238966c6a4bb866cfc4f99ab4d2382c5fcfa963f37e3206,,,I'll-Fly-Away_lFamN-oXRMQ.json,1,,,,,,"{""asset_role"":""info_json"",""bundle_id"":""lFamN-oXRMQ"",""upstream"":{""kind"":""youtube"",""url"":""https://www.youtube.com/watch?v=lFamN-oXRMQ"",""youtube_id"":""lFamN-oXRMQ""}}"
,datasets/acquisition/youtube/I'll-Fly-Away_lFamN-oXRMQ.mp3,active,d64725e6c43c134a15eda1ff614b6ed15dd8f3d902289e8d3462107815a932fd,,,I'll-Fly-Away_lFamN-oXRMQ.mp3,1,,,,,,"{""asset_role"":""audio"",""bundle_id"":""lFamN-oXRMQ"",""upstream"":{""kind"":""youtube"",""url"":""https://www.youtube.com/watch?v=lFamN-oXRMQ"",""youtube_id"":""lFamN-oXRMQ""}}"
,datasets/acquisition/youtube/I'll-Fly-Away_lFamN-oXRMQ.jpg,active,e2506f223028d5ea35c5a15cb1c9e417569570dbe56dbab7f36cafdf7e845fa4,,,I'll-Fly-Away_lFamN-oXRMQ.jpg,1,,,,,,"{""asset_role"":""thumb"",""bundle_id"":""lFamN-oXRMQ"",""upstream"":{""kind"":""youtube"",""url"":""https://www.youtube.com/watch?v=lFamN-oXRMQ"",""youtube_id"":""lFamN-oXRMQ""}}"
,datasets/acquisition/youtube/The-Blackest-Crow_4cYdD8Trv9A.json,active,cb25c69ecc7e142c7bbe0d3c226fccf06e9c4f327bcd57133080cc2ebc3c3adb,,,The-Blackest-Crow_4cYdD8Trv9A.json,1,,,,,,"{""asset_role"":""info_json"",""bundle_id"":""4cYdD8Trv9A"",""upstream"":{""kind"":""youtube"",""url"":""https://www.youtube.com/watch?v=4cYdD8Trv9A"",""youtube_id"":""4cYdD8Trv9A""}}"
,datasets/acquisition/youtube/The-Blackest-Crow_4cYdD8Trv9A.mp3,active,5187af829ee177e975b7f1314657fbe43e2d50b5dbf7d4528da57b95dc395a9c,,,The-Blackest-Crow_4cYdD8Trv9A.mp3,1,,,,,,"{""asset_role"":""audio"",""bundle_id"":""4cYdD8Trv9A"",""upstream"":{""kind"":""youtube"",""url"":""https://www.youtube.com/watch?v=4cYdD8Trv9A"",""youtube_id"":""4cYdD8Trv9A""}}"
